source,transaction,property_id,link,property_name,description,address_street,address_town,address_zrea,room_number,floor_area,building_status,year_of_construction,year_of_top,floor,energ_cert,price,price_area,photo_url_1,photo_url_2,photo_url_3
bazos_sk,predam,184938165,https://reality.bazos.sk/inzerat/184938165/iba-u-nas-stylovy-3-izbovy-byt-v-centre-trnavy.php,IBA U NÁS Štýlový 3-izbový byt v TOP lokalite Trnavy,"Predstavujeme Vám jedinečnú príležitosť na kúpu moderného 3 izbového bytu v novostavbe, situovaného v srdci Trnavy – v bezprostrednej blízkosti škôl, obchodov a historického centra mesta. Tento výnimočný byt s výmerou 80m² a  zasklenná loggia o veľkosti 6m² ponúka komfortné a pokojné bývanie s výbornou dostupnosťou všetkých služieb. 📐 Základné parametre - Úžitková plocha bytu: 80 m² - Loggia: 6 m² - Dispozícia: 3 samostatné izby + kuchyňa - Murovaná pivnica: áno 🏠 Dispozícia Byt je vzdušný, svetlý a kompletne zariadený nábytkom na mieru. Dispozične pozostáva zo vstupnej chodby s úložným priestorom, priestrannej obývacej izby spojenej s modernou kuchyňou a jedálenskou časťou, dvoch samostatných izieb, kúpeľne a samostatného WC. Dominantou bytu je jeho štýlové zariadenie a kvalitné vybavenie, ktoré zostáva súčasťou predaja. 🛋️ Vybavenie - kvalitné podlahy a interiérové dvere - moderná kuchynská linka so vstavanými spotrebičmi - skrine na mieru a dostatok úložného priestoru - podlahové vykurovanie 🏢 Bytový dom a projekt Bytový dom ponúka spoločnú strešnú terasu, udržiavané exteriérové plochy, výťah a pohodlný prístup priamo z garáže. 📍 Lokalita Projekt sa nachádza v atraktívnej a žiadanej lokalite Trnavy s kompletnou občianskou vybavenosťou. V pešej dostupnosti sa nachádzajú školy, škôlky, obchody, reštaurácie, kaviarne aj športoviská. Výhodou je bývanie v centre mesta a zároveň pokojné prostredie, ideálne pre rodiny aj páry. ✅ Výhody nehnuteľnosti - nadštandardný interiér - moderná dispozícia - možnosť dokúpenia 1 priestranného garážového státia (22m²) - murovaná pivnica (4,4m² s výškou stropu 3,3m) - výborná lokalita – centrum mesta Trnava 👉 Byt je pripravený na obhliadky Cena je konečná a nenavyšuje sa o províziu sprostredkovateľa 📞 +421 905 520 650 ✉️ wilhelmova@vianema.eu VIANEMA - bývanie s emóciou, služba s výsledkom.",,Trnava,,3,80,Novostavba,,,,,179900,2249,https://www.bazos.sk/img/1/165/184938165.jpg?t=1762330347,https://www.bazos.sk/img/1t/165/184938165.jpg?t=1762330347,https://www.bazos.sk/img/2t/165/184938165.jpg?t=1762330347
bazos_sk,predam,184820856,https://reality.bazos.sk/inzerat/184820856/reality-a-financie-na-jednom-mieste.php,Reality a Financie na jednom mieste,"💼 Hľadáte spoľahlivé riešenie pre vaše reality aj financie? Ponúkam kompletný servis na jednom mieste: 🏠 Pomôžem vám kúpiť alebo predať nehnuteľnosť – s osobným prístupom, profesionálne a bez stresu. 💰 Zároveň vám poradím v oblasti financií, hypoték, poistenia či investícií – všetko prispôsobené vašim potrebám. ✅ Ušetríte čas, energiu aj starosti – všetko vybavíte pohodlne u jedného človeka. Stačí sa ozvať a dohodneme si nezáväznú konzultáciu. 📞 Kontakt: 0905 438 561 📍 Pôsobím v západnom Slovensku Broker consulting a.s.",,Trnava,,,,Kompletná rekonštrukcia,,,,,179900,,https://www.bazos.sk/img/1t/644/184965644.jpg,https://www.bazos.sk/img/1t/762/184964762.jpg,https://www.bazos.sk/img/1t/582/184964582.jpg
bazos_sk,predam,184695152,https://reality.bazos.sk/inzerat/184695152/dom-za-cenu-bytu-v-lukrativnej-lokalite-pri-trnave.php,DOM NOVOSTAVBA ZA CENU BYTU lukratívna lokalita pri Trnave,"Ak túžite po novostavbe samostatného rodinného domu a máte obmedzený rozpočet, táto ponuka je práve pre vás. Ak ste single, pár alebo menšia rodinka, tento 3-izbový dom /86 m/ vám poskytne plnohodnotné komfortné bývanie ako vo veľkom dome a pritom šetríte náklady na údržbu a prevádzku /na 2 osoby 84 EUR/. Izby sú priestranné, presvetlené veľkými oknami. Do Trnavy na diaľnicu čo by kameňom dohodil zo Špačiniec. Obec s kompletnou občianskou vybavenosťou. Romantická terasa, malá záhradka na malé pestovateľské úspechy, kvety a bylinky a ešte vám ostane čas na hubárčenie, turistiku a cyklistiku v Karpatoch alebo čokoľvek iné, čo vás baví. Prežili sme tu niekoľko rokov, vieme čo ponúkame a budem radi ak si tento koncept úsporného a ekologického bývania nájde nového pokračovateľa. Ak chcete mať romantické Vianoce v romantickom domčeku, tak volajte. RK nie. Bezpečný prevod u notára. Výhody domu: - v tradičnej zástavbe, mimo satelitnej zástavby - lokalita - obec Špačince s kompletnou občianskou vybavenosťou, do Trnavy alebo na dialnicu 5 minút - orientácia - juhovýchodná, krásne presvetlený celý deň - nízke mesačné náklady - 84 EUR/mesačne vrátane elektriny - nábytok na mieru, vkusné, nadčasové, štýlová kúpelňa, kvalitné podlahy, vonkajšie rolety, vnútorné žalúzie - dispozícia - chodba, kuchyňa s obyvačkou, veľká kupelňa, spálňa, detská izba alebo pracovňa /3 izbový/ - spotrebiče - nové, vrátane TV a satelitu - záhrada - udržiavaná, maximálne využitý priestor, bylinky, 10 ks rodiacich ríbezlí, egreš, figa, čerešňa, višňa - parkovanie - dve parkovacie miesta",,Trnava,,3,,Novostavba,,,,,179900,,https://www.bazos.sk/img/1/152/184695152.jpg?t=1762243851,https://www.bazos.sk/img/1t/152/184695152.jpg?t=1762243851,https://www.bazos.sk/img/2t/152/184695152.jpg?t=1762243851
bazos_sk,predam,184937526,https://reality.bazos.sk/inzerat/184937526/vlckovce-2-izbbyt-v-novostavbe-s-parkovacim-miestom.php,Vlčkovce - 2-izb.byt v novostavbe s parkovacím miestom,"Vo výhradnom zastúpení klienta Vám ponúkame na predaj  veľký 2-izbový byt aj s parkovacím miestom  v 12-ročnej novostavbe vo Vlčkovciach. Nachádza sa na prízemí bytového domu ( bezbariérový prístup). Byt má  obytnú plochu 56,05 m2.  Dispozične pozostáva zo vstupnej chodby, samostatnej kuchyne, spálne, obývacej izby, kúpeľne s vaňou a samostatného WC. K bytu prislúcha takisto parkovacie miesto.  Náklady na bývanie sú veľmi priaznivé,  cca 130 € vrátane energií. Byt sa predáva bez nábytku a čerstvo vymaľovaný.  V obci je kompletná občianska vybavenosť MŠ,ZŠ, zdr. stredisko, zubár, pošta....Z obce je výborné napojenie na diaľnicu do BA,TT,NR. Financovanie bytu je možné aj prostredníctvom hypotekárneho úveru, s vybavením ktorého Vám radi pomôžeme. V cene je zahrnuté profesionálne realitné a finančné poradenstvo, vrátane vypracovania zmluvnej dokumentácie a návrhov na vklad vlastníckeho práva do katastra nehnuteľností, tiež zabezpečenie znaleckého posudku. Naša realitná kancelária je členom Realitnej únie. V prípade záujmu ma môžete kontaktovať na telefónnom čísle  0905/560681.",,Trnava,,,56,Novostavba,,,0905/560681,,149900,2677,https://www.bazos.sk/img/1/526/184937526.jpg?t=1762275501,https://www.bazos.sk/img/1t/526/184937526.jpg?t=1762275501,https://www.bazos.sk/img/2t/526/184937526.jpg?t=1762275501
bazos_sk,predam,184175516,https://reality.bazos.sk/inzerat/184175516/byty-cifer-novostavba-60m2.php,Byty cifer novostavba 60m2,"Ponúkame na predaj Novostavbu štýlovy 2-izbový byt 60m2 + loggia v novej lokalite Slnečné pozemky - Cífer - Pác. Projekt sa už realizuje a predpokladaný termín dokončenia október 2025 Byt sa predáva v stave holobyt s možnosťou dokončenia do štandardu. Moderný štandard zahŕňa: - podlahy v celom byte - laminátové parkety - interiérové dvere vrátane zárubní a kľučiek - sanita (WC, vaňa, umývadlo s batériou) - obklady a dlažby - predpríprava na klimatizáciu Bytový dom je postavený z pálenej tehly s dôrazom na kvalitu materiálov a predciznu prácu.V celom byte je podlahové kúrenie a veľkoformátové okná, ktoré presvetlia celý byt. Táto nová lokalita - Slnečné pozemky ponúka škôlku priamo v tejto lokalite rekreačné stredisko s kúpaliskom a športovým vyžitím obklopené prírodou. tenisové kurty s osvetlením, joga, futbalový a hádzanársky klub, športová hala. Lokalita: výborná občianska vybavenosť: materská škola priamo v lokalite základná škola, umelecká škola, detský lekár, zubný lekár, športoviská, kúpalisko, cyklotrasy, reštaurácie.. Výborné dopravné napojenie na D1, R1 dostupnosť vlakovej a autobusovej stanice.",,Trnava,,,60,Novostavba,,,,,,,https://www.bazos.sk/img/1/516/184175516.jpg?t=1761244383,https://www.bazos.sk/img/1t/516/184175516.jpg?t=1761244383,https://www.bazos.sk/img/2t/516/184175516.jpg?t=1761244383
bazos_sk,predam,183945640,https://reality.bazos.sk/inzerat/183945640/energicky-3-izb-byt-s-balkonom-v-tichej-casti-trnavy.php,"ENERGICKÝ 2,5 IZB. BYT S BALKÓNOM V TICHEJ ČASTI TRNAVY","Miesto, kde sa budete cítiť ako doma – 2-izbový byt prerobený na 3-izbový v nadstavbe bytového domu na ul. Juraja Slotu v Trnave. Niektoré byty majú jednoducho dobrú energiu. Tento byt je jedným z nich. Byt je útulný, vzdušný a priestranný. Technické parametre: - Pôvodne 2-izbový byt s výmerou 55,67 m2 bol šikovne upravený tak, aby vznikol ďalší priestor na spáľňu, detskú izbu, či pracovňu s úložným priestorom a oknom. - nachádza sa v 27 ročnej nadstavbe bytového domu - bytový dom z roku 1980 bol zrenovovaný a zateplený v roku 2013 - v roku 2027 sa plánujú zväčšovať balkóny - vlastný kotol na kúrenie a ohrev vody - mesačné náklady cca 160 eur pre 2 osoby - medená elektroinštalácia - klimatizácia Dispozícia: -vstupná chodba - obývačka spojená s kuchyňou - samostatná toaleta - kúpeľňa s vaňou - 2 samostatné izby Byt vás prekvapí svojou priestrannosťou, ktorá presahuje očakávania podľa metráže a to vďaka premyslenej dispozícii. Z balkóna sa každý deň môžete pozerať na koruny stromov. Je to miesto, kde si vychutnáte kávu, vínko, knihu aj ticho – aj keď bývate v meste. Izba s úložným priestorom, ktorá bola dorobená je síce menšia, ale spĺňa dostatočne účel, na ktorý bola prerobená. Ďalšie výhody, ktoré potešia: Parkovanie priamo pod vchodom Tiché a príjemné prostredie Byt je vo veľmi dobrom stave a je k dispozícií k okamžitému nasťahovaniu Harmonická dispozícia, ktorá dáva zmysel a pôsobí domácky Kompletná občianska vybavenosť, všetky služby, obchody, dokonca aj kúpalisko na dosah. Cena nehnuteľnosti je 169.900€ vrátane komplet právneho servisu. S hypotekárnym úverom vám tiež radi pomôžeme. Našli ste svoj vysnívaný byt? Neváhajte sa ozvať a dohodnúť si stretnutie. Beáta Peterková, 0908050651",,Trnava,,5,56,Kompletná rekonštrukcia,,,,,179900,3212,https://www.bazos.sk/img/1/640/183945640.jpg?t=1762179489,https://www.bazos.sk/img/1t/640/183945640.jpg?t=1762179489,https://www.bazos.sk/img/2t/640/183945640.jpg?t=1762179489
bazos_sk,predam,184865179,https://reality.bazos.sk/inzerat/184865179/hladam-2-alebo-3-izb-byt-v-povodnom-stave.php,Hľadám 2 alebo 3 izb. byt v pôvodnom stave,"Hľadám 2 alebo 3 izb. byt v pôvodnom stave v rámci celej Trnavy. Nevadi ani keď bude mať ťarchy alebo bude zadlžený, všetko viem vyriešiť rýchlo a platba ihneď. Kontaktuje ma na tel.č: 0948529258",,Trnava,,3,,Pôvodný stav,,,,,179900,,https://www.bazos.sk/img/1/179/184865179.jpg?t=1762117870,https://www.bazos.sk/img/1t/644/184965644.jpg,https://www.bazos.sk/img/1t/762/184964762.jpg
bazos_sk,predam,184863888,https://reality.bazos.sk/inzerat/184863888/2-izbovy-byt-s-velkou-terasou-a-parkovacim-miestom.php,2-izbový byt s veľkou terasou a parkovacím miestom,"Ponúkame Vám na predaj 2-izbový byt v novostavbe obľúbenej lokality Arboria Park na Novomestskej ulici v Trnave. Byt s podlahovou plochou 50 m2 a priestrannou terasou o výmere 27 m2 sa nachádza na 1. poschodí novostavby s orientáciou na severozápad. Dispozične pozostáva zo vstupnej chodby so samostatným šatníkom, obývacej miestnosti spojenej s kuchyňou a jedálňou a so vstupom na terasu, samostatnej nepriechodnej spálne, kúpeľne s umývadlom, vaňou a WC. K bytu prislúcha jedno parkovacie miesto v podzemnej garáži a samostatná pivničná kobka. Byt sa predáva nezariadený. Nehnuteľnosť sa nachádza v novej modernej mestskej štvrti plnej zelene s relaxačnou a športovou zónou, ktorá ponúka kompletnú občiansku vybavenosť potrebnú pre komfortné a príjemné bývanie na okraji mesta a s rýchlou dostupnosťou na diaľnicu. Cena bytu spolu s 1x parkovacie miesto v podzemnej garáži a s 1x samostatná pivničná kobka: 190 000,- EUR. Poskytujeme kompletný právny servis, vrátane vybavenia hypotekárneho úveru, znaleckého posudku pre účely banky a všetkého potrebného súvisiaceho s nadobudnutím vlastníctva. Ak Vás táto ponuka zaujala radi Vás uvítame na osobnej obhliadke nehnuteľnosti. Mgr. Michaela Drobná Tel. kontakt: +421908 773 304 Email: michaela.drobna@veryreal.sk Viac nehnuteľností nájdete na www.veryreal.sk",,Trnava,,,50,Novostavba,,,,,179900,3598,https://www.bazos.sk/img/1/888/184863888.jpg?t=1762115422,https://www.bazos.sk/img/1t/888/184863888.jpg?t=1762115422,https://www.bazos.sk/img/2t/888/184863888.jpg?t=1762115422
bazos_sk,predam,184772628,https://reality.bazos.sk/inzerat/184772628/nadcasove-byvanie-na-druzbe-3-izbovy-byt-v-trnave.php,Nadčasové bývanie na Družbe – 3-izbový byt v Trnave,"Hľadáte bývanie bez ďalších investícií v tichej a žiadanej lokalite s kompletnou občianskou vybavenosťou na dosah? Táto ponuka spája komfort, praktickosť a výbornú polohu – 3-izbový byt o výmere 69 m² vrátane loggie sa nachádza na 2. poschodí bytového domu s výťahom. K bytu prislúcha aj pivnica. Čo vás čaká vo vnútri Byt prešiel kompletnou rekonštrukciou, takže si stačí len priniesť osobné veci a bývať. Dispozične ponúka: •	Vstupnú halu – dostatok priestoru pre šatník alebo vstavané skrine •	Obývaciu izbu – priestranný centrálny priestor pre rodinné chvíle •	Samostatnú kuchyňu – nová kuchynská linka s dostatkom úložného priestoru •	Dve nepriechodné izby – ideálne ako spálne, detská izba či pracovňa •	Kúpeľňu a samostatné WC – po rekonštrukcii, s modernými obkladmi •	Loggiu – skvelé miesto na rannú kávu či večerný oddych •	Pivnicu – praktický bonus pre uskladnenie Technické a modernizačné výhody •	Nové bezpečnostné dvere •	Nové rozvody a elektroinštalácia •	Nová kuchyňa, kúpeľňa aj WC •	Plastové okná, nové podlahy a stierky •	Nové radiátory •	Kompletné zrekonštruované bytové jadro Lokalita, ktorá má všetko Byt sa nachádza v obľúbenej mestskej časti Družba – Vladimíra Clementisa, známej svojou pokojnou atmosférou a skvelou dostupnosťou. V pešej blízkosti nájdete: •	školu, škôlku, polikliniku aj domov dôchodcov •	centrum mesta a nákupné centrum •	kompletnú občiansku vybavenosť – obchody, služby, MHD, zeleň Parkovanie je bezproblémové, dostupné priamo pri bytovom dome. Cena: 219 900 € Bez nutnosti ďalších investícií – ideálna voľba na komfortné bývanie aj ako investícia na prenájom. Zaujala vás táto ponuka? Neváhajte nás kontaktovať a dohodnite si obhliadku – tento byt vás zaujme už pri vstupe. Tel.: 0914 119 809 0903 425 879 RK prosíme, kontaktujte len v prípade konkrétneho záujemcu. Ďakujeme.",,Trnava,,,69,Kompletná rekonštrukcia,,,,,179900,2607,https://www.bazos.sk/img/1/628/184772628.jpg?t=1762080177,https://www.bazos.sk/img/1t/628/184772628.jpg?t=1762080177,https://www.bazos.sk/img/2t/628/184772628.jpg?t=1762080177
bazos_sk,predam,183556810,https://reality.bazos.sk/inzerat/183556810/3-izbovy-byt-na-halenarskej-ul-v-trnave-o-vymere-95-m2.php,"3-izbový byt na Halenárskej ul. v Trnave, o výmere 95 m2","JEDINEČNÁ PONUKA!!! ZA BEZKONKURENČNÚ CENU !!! Ponúkame na predaj krásny 3-izb. byt v centre Trnavy na Halenárskej ul. o výmere 95 m2, byt je situovaný na druhom podlaží zatepleného domu. Byt sa rozprestiera na dvoch podlažiach, na prízemí sa nachádza len vstupná chodba a dreveným schodiskom sa dostanete do krásnej, svetlej obývacej izby prepojenej s kuchyňou, ďalej pozostáva z modernej kúpeľne s veľkým sprchovacím kútom, vaňou a umývadlom, samostatného Wc, detskej izby a spálne. V byte sú Velux strešné okná s vonkajšími zatieňujúcimi a vnútornými zatemňujúcimi tienidlami, plávajúca podlaha v izbách, dlažba v kúpeľni, moderná kuchynská linka so zabudovanými spotrebičmi, interiérové zárubne a dvere, podlahové elektrické kúrenie prostredníctvom Devi -rohoží s termostatmi v každej izbe, ohrev teplej vody je zabezpečený pomocou elektrického bojlera, klimatizácia LG je tvorená jednou vonkajšou a 2 vnútornými jednotkami (na chodbe a v spálni) a je ovládaná prostredníctvom wifi. Rezident bytu s trvalým pobytom získava parkovaciu kartu za 1,- euro do zóny A. Byt sa predáva čiastočne zariadený. Byt bol skolaudovaný v r. 2022, v blízkosti sa nachádza úplná občianska vybavenosť (City Aréna, kaviarne, reštaurácie, banky, detské ihrisko, školy, ... ) . Financovanie bytu je možné aj prostredníctvom hypotekárneho úveru, s vybavením ktorého Vám radi pomôžeme. V prípade záujmu prosím kontaktujte makléra: Ing. ALENA ŠKVARENINOVÁ 0907/157325 alebo alena.skvareninova@marcoreal.sk",,Trnava,,,95,Čiastočná rekonštrukcia,,2022,0907/157325,,179900,1894,https://www.bazos.sk/img/1/810/183556810.jpg?t=1762248423,https://www.bazos.sk/img/1t/810/183556810.jpg?t=1762248423,https://www.bazos.sk/img/2t/810/183556810.jpg?t=1762248423
