source,transaction,property_id,link,property_name,description,address_street,address_town,address_zrea,room_number,floor_area,building_status,year_of_construction,year_of_top,floor,energ_cert,price,price_area,photo_url_1,photo_url_2,photo_url_3
nehnutelnosti_sk,predaj,Ju5rNqLroZV,https://www.nehnutelnosti.sk/detail/Ju5rNqLroZV/tima-real---nadstandardny-3l5i-byt-o-rozlohe-133m2-v-komplexe-starohajska,"TIMA Real - Nadštandardný 3,5i byt o rozlohe 133m2 v komplexe Starohájska","TIMA Real - Nadštandardný 3,5i byt o rozlohe 133m2 v komplexe Starohájska",Starohájska,Trnava,okres Trnava,3.0,133.0,Novostavba,2007.0,,4/6,B,380000.0,2857.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKS9qdWw=/vyO6aW6n0_fss?st=Fw4vAECFGBH2DEhMMM4b573RVnqwrP4aEQG7Y-OX51Y&ts=1762459165&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/JvcAAoCxC_fss?st=VgYhEuUStpxy39ym-hcNH4gfhXExeUOOBCw4fVlYFtg&ts=1762459160&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/CR8pA7aLc_fss?st=4FlnjY9Z-jJU6UC3CExT-iXdE6K0mom8tNTAHPhgmAw&ts=1762459172&e=0
nehnutelnosti_sk,predaj,Jue15Ktckn1,https://www.nehnutelnosti.sk/detail/Jue15Ktckn1/-kompletne-rekonstruovany-3-izbovy-byt-na-skok-od-centra-trnavy,+++ KOMPLETNE REKONŠTRUOVANÝ 3 IZBOVÝ BYT NA SKOK OD CENTRA TRNAVY+++,+++ KOMPLETNE REKONŠTRUOVANÝ 3 IZBOVÝ BYT NA SKOK OD CENTRA TRNAVY+++,Spartakovská,Trnava,okres Trnava,3.0,68.0,Novostavba,,,1/7 + výťah,,189900.0,2793.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKS9qdWw=/VzM4w6ajx_fss?st=CnmcPoIhWoi8CfH-xCE4RSUA6tcoUy81GVATwkbov-Y&ts=1761745865&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/ORBGcndPDR_fss?st=plkUeKCEs2ZzSBmdsRnMUndtvlo_UcBXCoBT_GXh5pI&ts=1761745865&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/jGzflEeC6_fss?st=fReQuAIu_bGe0s5ig8gBRA1Yaw74ugi7Vm_-I7U1yaI&ts=1761745866&e=0
nehnutelnosti_sk,predaj,Ju7kokrAUBs,https://www.nehnutelnosti.sk/detail/Ju7kokrAUBs/realitna-kancelaria-treef-ponuka-novo-zrekonstruovany-3-izbovy-byt-na-ulici-andreja-kubinu-v-trnave,Realitná kancelária Treef ponúka novo zrekonštruovaný 3-izbový byt na ulici Andreja Kubinu v Trnave.,Realitná kancelária Treef ponúka novo zrekonštruovaný 3-izbový byt na ulici Andreja Kubinu v Trnave.,Ulica Andreja Kubinu,Trnava,okres Trnava,3.0,66.0,,,,6/7 + výťah,,189500.0,2871.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKTp3YXRlcm1hcmsocHVzL3hzT0xnSXFuYV9mc3MsY2VudGVyLGNlbnRlciwxMCwyMCwyMCkvanVs/_CklMfi2R_fss?st=PeHD7ZI-Yc9xzR9-uFxQYXFhQj8MdzGHQX1VuoYggdM&ts=1762514234&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApOndhdGVybWFyayhwdXMveHNPTGdJcW5hX2ZzcyxjZW50ZXIsY2VudGVyLDEwLDIwLDIwKS9qdWw=/evrNqMyYI_fss?st=Q0vEVNuTWO4fS6QTGtxWVtDFUYi7SZXdwENUgmBK7ds&ts=1762514228&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApOndhdGVybWFyayhwdXMveHNPTGdJcW5hX2ZzcyxjZW50ZXIsY2VudGVyLDEwLDIwLDIwKS9qdWw=/a1Zdd3W3I_fss?st=19sakxkqCGskwFs_OFuZHGRrBxis6O7mB8PV2gLvffQ&ts=1762514219&e=0
nehnutelnosti_sk,predaj,JuL2BnPtljK,https://www.nehnutelnosti.sk/detail/JuL2BnPtljK/realitna-kancelaria-treef-ponuka-2-i-byt-na-hlinach-v-trnave,Realitná kancelária Treef ponúka 2 i byt na Hlinách v Trnave.,Realitná kancelária Treef ponúka 2 i byt na Hlinách v Trnave.,Trnava,Trnava,okres Trnava,2.0,40.0,,,,4/8 + výťah,,150900.0,3772.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKTp3YXRlcm1hcmsocHVzL3hzT0xnSXFuYV9mc3MsY2VudGVyLGNlbnRlciwxMCwyMCwyMCkvanVs/2_vO4SP2C_fss?st=gfAUVUXBW0Q_oC8Wob6jbGhdxfdDmvQwRlXMr-ROGmY&ts=1762512807&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApOndhdGVybWFyayhwdXMveHNPTGdJcW5hX2ZzcyxjZW50ZXIsY2VudGVyLDEwLDIwLDIwKS9qdWw=/NHqXzt4yu_fss?st=wO8u8E7E1IQC7l8akL2JiTRHmByvhJJ6m1menQSiR6w&ts=1762512804&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApOndhdGVybWFyayhwdXMveHNPTGdJcW5hX2ZzcyxjZW50ZXIsY2VudGVyLDEwLDIwLDIwKS9qdWw=/BuQ_5D1wk_fss?st=bEAR1VBO9q5VJ71lrx4HWuDiFEuZkEZkfKoI7tRJ01I&ts=1762512803&e=0
nehnutelnosti_sk,predaj,Ju3KpPztQf_,https://www.nehnutelnosti.sk/detail/Ju3KpPztQf_/all-inclusive--na-predaj-3-izbovy-byt-s-loggioul-trnava--prudy,"ALL INCLUSIVE | NA PREDAJ 3-IZBOVÝ BYT S LOGGIOU, TRNAVA – PRÚDY","ALL INCLUSIVE | NA PREDAJ 3-IZBOVÝ BYT S LOGGIOU, TRNAVA – PRÚDY",Prúdy,Trnava,okres Trnava,3.0,63.0,Novostavba,2020.0,,4/5 + výťah,A,259900.0,4155.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKS9qdWw=/a7wbGL5SU_fss?st=4kPG15nvHD1cVY2x31DvNzWeNMVJ8_vaYZwPnChAtMg&ts=1757594553&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/er3NuZOCo_fss?st=pxsfPumQgAv3-l3nRxFQuBCRKhzlBg5G96r4jjgn3bI&ts=1757594561&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/0Kfeo11v1_fss?st=m0lL6B34ZyLMJT2PZQL1FMQ2Zy86708VQTXrJmN36fk&ts=1757594554&e=0
nehnutelnosti_sk,predaj,JuDk6n7v_1i,https://www.nehnutelnosti.sk/detail/JuDk6n7v_1i/az-byty-kamenac--2-izbovy-byt---jedinecne-byvanie-v-srdci-kamenneho-mlynu-v-trnave,AZ. Byty Kamenáč – 2 izbový byt - jedinečné bývanie v srdci Kamenného Mlynu v Trnave,AZ. Byty Kamenáč – 2 izbový byt - jedinečné bývanie v srdci Kamenného Mlynu v Trnave,Trnava,Trnava,okres Trnava,2.0,50.0,Novostavba,2025.0,,2/6,A,179900.0,3598.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKS9qdWw=/P1CPoyNyE1_fss?st=mSzIJc3SUfTYvJHD6FuB17EuxmU7YI0G_lLOUTuLduY&ts=1756292927&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/nGqtiWLp1_fss?st=PCpJeLbc1xefy46qkjQFfHHp6Nrw3bv1XhrUDE-qKhw&ts=1756292931&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/_5Agy7Ql5T_fss?st=heqIuXApNhjku5zPRYew4I8GY-HAuw_9WJ6p_gVEuPg&ts=1756292933&e=0
nehnutelnosti_sk,predaj,JuHF8bJCRU4,https://www.nehnutelnosti.sk/detail/JuHF8bJCRU4/predaj--exkluzivne---3-izbovy-byt-v-centre-trnavy-v-projekte-city-residance,Predaj | Exkluzívne - 3 izbový byt v centre Trnavy v projekte CITY RESIDANCE,Predaj | Exkluzívne - 3 izbový byt v centre Trnavy v projekte CITY RESIDANCE,Františkánska,Trnava,okres Trnava,3.0,94.0,,,,,,549900.0,5830.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKS9qdWw=/9MMqPsZJe_fss?st=WJrIXBBJkzPwNGWOsnKtyZhJ0iAueinfrAR5P-A6k3g&ts=1760733727&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/I3Ck6dmJ3_fss?st=aMDbZTSty6Vli3o9PjKD4uKBr6HeSvgIrKQoCup9clg&ts=1760733728&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/CBbnVlFB9_fss?st=RARu-_gYds6NrjjGgliCX5ZFRWRrLwUfZ5q9ckt5Tu8&ts=1760733730&e=0
nehnutelnosti_sk,predaj,Juw_sy_HAOv,https://www.nehnutelnosti.sk/detail/Juw_sy_HAOv/na-predaj-3-izbovy-byt-s-vlastnou-zahradou-vo-velkom-orvisti,Na predaj 3-izbový byt s vlastnou záhradou vo Veľkom Orvišti,Na predaj 3-izbový byt s vlastnou záhradou vo Veľkom Orvišti,Trnava,Trnava,okres Trnava,3.0,70.0,,,,,,163500.0,2336.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKS9qdWw=/zvIaGsaDe_fss?st=wKRIAYcVi9jPu58v8Mx9jrZId1ZAUiyddUJkCw0MtCg&ts=1757695170&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/j2vmWsc7w_fss?st=39of7gWCgFYB_XzaFsPOune3MKSaSsTSCd4KRkssos0&ts=1757695172&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/2wSbUcMsa_fss?st=TOfaLSJhLjyMGQBx0UiCIZk3LLh_WAEYKArVmfZIdhs&ts=1757695171&e=0
nehnutelnosti_sk,predaj,JuhFWJVWCBX,https://www.nehnutelnosti.sk/detail/JuhFWJVWCBX/na-predaj-vynimocny-3-izbovy-byt-v-rodinnom-dome-vo-velkom-orvisti,Na predaj výnimočný 3-izbový byt v rodinnom dome vo Veľkom Orvišti,Na predaj výnimočný 3-izbový byt v rodinnom dome vo Veľkom Orvišti,Trnava,Trnava,okres Trnava,3.0,79.0,,,,,,163500.0,2057.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKS9qdWw=/j2vmWsc7w_fss?st=w-Rs-C7MxbhQYpjkBHeYs5-bXWiT0q8CTVCTx7nWcWo&ts=1757695172&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/2wSbUcMsa_fss?st=TOfaLSJhLjyMGQBx0UiCIZk3LLh_WAEYKArVmfZIdhs&ts=1757695171&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/XtcxzEiej_fss?st=ub1AxHJHHxffb2rF3gdIgjUf0Y947663xjWisyt4pVY&ts=1757695172&e=0
nehnutelnosti_sk,predaj,Jux2sNFAbCH,https://www.nehnutelnosti.sk/detail/Jux2sNFAbCH/zariadeny-3-izbovy-byt-s-garazou-a-kobkou-v-arborii-,Zariadený 3 izbový byt s garážou a kobkou v Arborii,Zariadený 3 izbový byt s garážou a kobkou v Arborii,Ulica Veterná,Trnava,okres Trnava,3.0,67.0,Novostavba,2022.0,,3/5,nie je,250000.0,3731.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKS9qdWw=/rfWWQHBGJ_fss?st=2JrLvOWmO9PRYTM2DMmpK3_VFOcppOOu_Git6EGHIBg&ts=1758043896&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/xvIBkoNC6_fss?st=3Dk_sitKV1AL1J3olwVcT80SNHFOVxfKuX-DN4Hm2bI&ts=1758043897&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/X3oo_nbwS_fss?st=Zi2NyW8WgCwtM4bw00dwbx7jDUl4DghxyPCtl2DDzqc&ts=1758043899&e=0
