source,transaction,property_id,link,property_name,description,address_street,address_town,address_zrea,room_number,floor_area,building_status,year_of_construction,year_of_top,floor,energ_cert,price,price_area,photo_url_1,photo_url_2,photo_url_3,operating_costs,energy_costs
nehnutelnosti_sk,prenajom,JuKWJxNAGZv,https://www.nehnutelnosti.sk/detail/JuKWJxNAGZv/-aktualne--dizajnovy-smart-1-izbovy-byt-s-garazovym-statim-v-prestiznej-rezidencii-hviezdoslavova,/ Aktuálne / Dizajnový smart 1 izbový byt s garážovým státím v prestížnej Rezidencii Hviezdoslavova,/ Aktuálne / Dizajnový smart 1 izbový byt s garážovým státím v prestížnej Rezidencii Hviezdoslavova,Hviezdoslavova,Trnava,okres Trnava,1,36.0,Novostavba,2024.0,,2/4 + výťah,A,760.0,2141.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKTp3YXRlcm1hcmsoanVsLzlyenlsTVNURV9mc3MsLTI1LC0yNSwxMCwyMCwyMCkvanVs/9RVo7aHbk_fss?st=LRLnKm4X9zM1hp6OvCtjVmzzdRPWd5yeY94MozdZz24&ts=1759831594&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApOndhdGVybWFyayhqdWwvOXJ6eWxNU1RFX2ZzcywtMjUsLTI1LDEwLDIwLDIwKS9qdWw=/Bsm-sffbI_fss?st=EGwj-pOEVsv6ngqqBcjIeTQMeWjZ0whmL_k6zeCU1FE&ts=1759831571&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApOndhdGVybWFyayhqdWwvOXJ6eWxNU1RFX2ZzcywtMjUsLTI1LDEwLDIwLDIwKS9qdWw=/IGnhVQPMj_fss?st=Dc1VUbeEJOrq3tWH5qF7kyDFhCsNRVsvfxKqG06_EQU&ts=1759831581&e=0,,
nehnutelnosti_sk,prenajom,JuJTObWMxJA,https://www.nehnutelnosti.sk/detail/JuJTObWMxJA/arboria--krasny-2l5-izbovy-byt-na-prenajom-v-projekte-arboria-na-novomestskej-ulici,"Arboria | Krásny 2,5 izbový byt na prenájom v projekte Arboria na Novomestskej ulici","Arboria | Krásny 2,5 izbový byt na prenájom v projekte Arboria na Novomestskej ulici",Novomestská ulica,Trnava,okres Trnava,3,59.0,Novostavba,2019.0,2021.0,2/6 + výťah,B,584.0,987.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKS9qdWw=/SumYGblpT_fss?st=86QUfhlViiW8NkzBG2z_7xz24Wu8eENjfit4o4nCUaA&ts=1761034997&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/G3JV4m6Pz_fss?st=YSuzkewNrUvUQHH72Ufs7glWuy2pPwQ0WsTA_tZl5j8&ts=1761034999&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/2kJiD1tBe_fss?st=wmUFFF2eyiz_S-a2XzoNA9Hq1BKeRINUxmKOlqa6YJI&ts=1761035002&e=0,,
nehnutelnosti_sk,prenajom,JuiDDZTsJbi,https://www.nehnutelnosti.sk/detail/JuiDDZTsJbi/prenajom-2-izboveho-bytu-s-predzahradkou,Prenájom 2-Izbového Bytu s Predzáhradkou,Prenájom 2-Izbového Bytu s Predzáhradkou,Cukrovarská 10169,Trnava,okres Trnava,2,,,,,,,850.0,1012.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKS9uZWg=/Nhw5-TLeI_fss?st=mOy6UIjjSKgRo-9OnDEpZVmRqTnU4UjonRP_SCUaoh8&ts=1758059833&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL25laA==/0YRuvLPDE_fss?st=tYp2TD05ByC9UcBljbQMwX4R5qy_M9oBuXTE4zdmhp4&ts=1758061812&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL25laA==/ZsO63otFE_fss?st=oHTxrohpJuEd9zdmsOrznrWfpVUrnlR0yGgHN53qJM4&ts=1758061807&e=0,,
nehnutelnosti_sk,prenajom,JuAHDuGB0rk,https://www.nehnutelnosti.sk/detail/JuAHDuGB0rk/arboria--novy-2-izbovy-byt-na-prenajom-v-projekte-arboria-na-veternej-ulici,ARBORIA | Nový 2 izbový byt na prenájom v projekte Arboria na Veternej ulici,ARBORIA | Nový 2 izbový byt na prenájom v projekte Arboria na Veternej ulici,Ulica Veterná,Trnava,okres Trnava,2,51.0,Novostavba,2022.0,2024.0,4/6 + výťah,B,568.0,1114.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKS9qdWw=/0ENFbJG_A_fss?st=uR1G6XdmL7X7dvI2c6cpl7lNygwRJHgDF_AD_Ff9jbs&ts=1747828056&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/D7hQz0aaT_fss?st=apNBd-6vl633Ix7T_f0sXCD_65lVLGAFGp_RCr0MBj8&ts=1747828058&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL2p1bA==/lBeEpEN3X_fss?st=1X-y3nsb5zZdSbE0PB10WwQCebLZWaw8R_QxihSit5A&ts=1747828062&e=0,,
nehnutelnosti_sk,prenajom,JusEiyEcjkN,https://www.nehnutelnosti.sk/detail/JusEiyEcjkN/gestto--2-izbovy-byt-na-prenajom--j-sambucusa--zariadeny,GESTTO | 2-IZBOVÝ BYT NA PRENÁJOM | J. SAMBUCUSA | ZARIADENÝ,GESTTO | 2-IZBOVÝ BYT NA PRENÁJOM | J. SAMBUCUSA | ZARIADENÝ,Ulica Jána Sambucusa,Trnava,okres Trnava,2,,Novostavba,,,,,750.0,1115.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKTp3YXRlcm1hcmsoanVsL1pYakhOY255Ml9mc3MsY2VudGVyLGNlbnRlciw5MCwyMCwyMCkvanVs/JOCI0kIpa_fss?st=pkZz877bCc9SOP8vKZP7SeOFnXoDz0MZ3D8VN1qc2K8&ts=1759921104&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApOndhdGVybWFyayhqdWwvWlhqSE5jbnkyX2ZzcyxjZW50ZXIsY2VudGVyLDkwLDIwLDIwKS9qdWw=/LuryIJnOr7_fss?st=VK6JIdYZbh9e7lm0UuysM6yXLz-B4DNcT5elXHeljRU&ts=1759921155&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApOndhdGVybWFyayhqdWwvWlhqSE5jbnkyX2ZzcyxjZW50ZXIsY2VudGVyLDkwLDIwLDIwKS9qdWw=/P9jaWH45b_fss?st=62PSsm71-KpAqfEvGH1EEgS7D5paUrTzPkgqqMGXv5M&ts=1759921160&e=0,,
nehnutelnosti_sk,prenajom,Jujg4VLT7aM,https://www.nehnutelnosti.sk/detail/Jujg4VLT7aM/prenajom-bytu-s-terasou,Prenájom bytu s terasou,Prenájom bytu s terasou,Pekárska,Trnava,okres Trnava,1,,,,,,,790.0,2194.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKS9uZWg=/v9U7wfgDv_fss?st=YUpC08Tppto9JSKx_kjEaILYc9SklXBFAbs76kP7pOI&ts=1759748503&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL25laA==/0lUsVb3Ko0_fss?st=Iv_NKACcoAc1maJimbSXduYsPUDL1pkQ9SEXOs3hgNU&ts=1759750021&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL25laA==/PEk900Fsf_fss?st=psBn4KsN0bLcUhy6bi6GJ1dK2onPdNKd65lJYeGU7uc&ts=1759750023&e=0,,
nehnutelnosti_sk,prenajom,JuVME2OMJsn,https://www.nehnutelnosti.sk/detail/JuVME2OMJsn/2-izbovy-byt---novy,2-izbový byt - nový,2-izbový byt - nový,Pekná ulica,Trnava,okres Trnava,2,,,,,,,800.0,16.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKS9uZWg=/9uisIUhRJx_fss?st=Pm_wlNYPmLiTKc3oA96u5ea9LXf0pJlJF8UEZSWpSEM&ts=1762205643&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL25laA==/Ub777ymj6_fss?st=Zi8w0y3wUWvtSPRsZhjb4CVfMKGtrtE-NpLkKLbvetI&ts=1762205643&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL25laA==/DB-8Ffzwf_fss?st=3vvd88jDxOIKBa_DlY84YX5Rg15UICpVUeMUUhLroCs&ts=1762205643&e=0,,
nehnutelnosti_sk,prenajom,JuN84-3SW0U,https://www.nehnutelnosti.sk/detail/JuN84-3SW0U/prenajom-2izb-bytu-700--s-energiami-a-parkovanim,Prenájom 2izb. bytu 700 € s energiami a parkovaním,Prenájom 2izb. bytu 700 € s energiami a parkovaním,Odbojárska 40,Trnava,okres Trnava,2,,,,,,,700.0,1167.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKS9uZWg=/MYQqkKU3q_fss?st=knLLQFrjGbxNJ69jRRllTy_tU5Dl1HWDM4TotsBXKD0&ts=1762198967&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL25laA==/oryfLPIP8_fss?st=SF0_c4VO3ha5TFUms-fNHuhCiLSPtYidzFEu94qpmKc&ts=1762198969&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL25laA==/MnckLttdy_fss?st=QtZCJSisOtSSkchCQTNkr8phD39H1OPwb_8Uhd_Ga68&ts=1762198449&e=0,700.0,700.0
nehnutelnosti_sk,prenajom,Ju4Np6z75vh,https://www.nehnutelnosti.sk/detail/Ju4Np6z75vh/velky-2-i-byt-s-podz-garazovym-statim-v-arborii,Veľký 2 i byt s podz. garážovým státim v Arbórii,Veľký 2 i byt s podz. garážovým státim v Arbórii,Novomestská ulica,Trnava,okres Trnava,2,,,,,,,750.0,1271.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKS9uZWg=/t9OWJ2zHM_fss?st=AGD1kgXRZCmSA8h_a39vMdJbs9Vk3Kl6jRxECUSpWEI&ts=1762339281&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL25laA==/Tw_5_dy4h_fss?st=IoHxTE1uIvX3FrXKSNROvEI_3c0EFYAg3lq0VeBBKhU&ts=1762339281&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApL25laA==/WB6wG8mrSF_fss?st=s4MeimbRJsE5IYMUGNMUttHm_XfqVIwXWm-cRSvEKGY&ts=1762339281&e=0,,
nehnutelnosti_sk,prenajom,Juia-OJCTiS,https://www.nehnutelnosti.sk/detail/Juia-OJCTiS/gestto--2-izbak-na-prenajom--rekonstrukcia--klimatizacia--zariadenie,GESTTO | 2-IZBÁK NA PRENÁJOM | REKONŠTRUKCIA | KLIMATIZÁCIA | ZARIADENIE,GESTTO | 2-IZBÁK NA PRENÁJOM | REKONŠTRUKCIA | KLIMATIZÁCIA | ZARIADENIE,Zelenečská ulica,Trnava,okres Trnava,2,63.0,Novostavba,1975.0,,1/3,B,700.0,1112.0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzE1NjB4NDAwMC9maWx0ZXJzOnF1YWxpdHkoODApOmZvcm1hdCh3ZWJwKTp3YXRlcm1hcmsoanVsL1pYakhOY255Ml9mc3MsY2VudGVyLGNlbnRlciw5MCwyMCwyMCkvanVs/vnuzV_nC9_fss?st=aVJ8Qr__L6GaztyhqlW-KKgXO7plS8zGcW2Q2yXUYjo&ts=1762417512&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApOndhdGVybWFyayhqdWwvWlhqSE5jbnkyX2ZzcyxjZW50ZXIsY2VudGVyLDkwLDIwLDIwKS9qdWw=/qtTWI3Sc5_fss?st=nXFBabX_3lX9IcXyUkq8NnVEOW7Por4TPVtOhdvaVbk&ts=1762417519&e=0,https://img.nehnutelnosti.sk/foto/Zml0LWluLzc4MHgyMDAwL2ZpbHRlcnM6cXVhbGl0eSg4MCk6Zm9ybWF0KHdlYnApOndhdGVybWFyayhqdWwvWlhqSE5jbnkyX2ZzcyxjZW50ZXIsY2VudGVyLDkwLDIwLDIwKS9qdWw=/jLmeL8JaB_fss?st=RDPfq7qfaQo6LeNsGsscEJ2uV0_6pnJ0crSIAGhB8wY&ts=1762417524&e=0,,
