source,transaction,property_id,link,property_name,description,address_street,address_town,address_zrea,room_number,floor_area,building_status,year_of_construction,year_of_top,floor,energ_cert,price,price_area,photo_url_1,photo_url_2,photo_url_3,operating_costs,energy_costs
reality_sk,prenajom,JuAHDuGB0rk,https://www.reality.sk/byty/arboria-novy-2-izbovy-byt-na-prenajom-v-projekte-arboria-na-veternej-ulici/JuAHDuGB0rk/,ARBORIA | Nový 2 izbový byt na prenájom v projekte Arboria na Veternej ulici,"LUCRON Vám ponúka exkluzívne na prenájom krásny 2 izbový byt o výmere 47 m2 + 4 m2 balkón v Novostavbe ARBORIA na ulici Veterná 49.POPIS:Interiér bytu je kompletne zariadený nábytkom na mieru. Dispozícia bytu pozostáva zo vstupnej chodby, samostatného šatníka, kúpeľne s vaňou spojenej s WC, obývacej izby spojenej s kuchynskou a jedálenskou časťou a spálne. Z obývacej izby je východ na balkón s možnosťou sedenia.Byt je vhodný pre jednu max. dve osoby (pár) a je dostupný k nasťahovaniu od 1.12.2025.V podzemnej garáži bytového domu je k dispozícií jedno parkovacie státie.Pivničná kobka je k dispozícií na poschodí bytu.BYTOVÝ DOM A OKOLIE:   Arboria je moderná mestská štvrť s množstvom zelene, verejných priestorov, športovísk a ihrísk. Na dosah ponúka úplnú občiansku vybavenosť vrátane škôl a škôlok, obchody a služby na pár krokov. Lokalita navyše ponúka vynikajúcu dostupnosť nielen do centra Trnavy, ale aj na blízku diaľnicu D1. CENA PRENÁJMU: Byt, parkovacie miesto a pivnica 568 EUR + 182 EUR energie a poplatky = 750 EUR/mesiacPlatobné podmienky: 1x mesačný nájom 750 EUR Depozit 750 EUR Sprostredkovateľský poplatok 500 EUR Ak Vás táto nehnuteľnosť zaujala, neváhajte ma kontaktovať.KONTAKT:Ing. Matej Ligač Tel: +421 911 104 852E   matej.ligac@lucron.sk W www.arboria.sk",,Trnava,Trnavský kraj,2.0,51,Novostavba,2022.0,2024.0,4.0,B,568,11.0,https://s.unitedclassifieds.sk/jul/0ENFbJG_A_fss?st=njJCdANu9cbNUNSiaQIL1fsmYNhzRj-WjpclaOZ8vfU&ts=1747828056&e=0,https://s.unitedclassifieds.sk/jul/D7hQz0aaT_fss?st=mdcXJ3RfIecStawOZBC866miQdLNuWLa2cnYTx5yvHY&ts=1747828058&e=0,https://s.unitedclassifieds.sk/jul/lBeEpEN3X_fss?st=0ycte5AIbI2lJPs8uGzh5faGGH4oIxqRbM7Tre6msGE&ts=1747828062&e=0,182.0,568.0
reality_sk,prenajom,JuB4JWxc4X4,https://www.reality.sk/byty/realitna-kancelaria-treef-ponuka-na-prenajom-priestranny-2-izbovy-byt-v-skvelej-lokalite-trnava-sladovnicka/JuB4JWxc4X4/,"Realitná kancelária Treef ponúka na prenájom priestranný 2-izbový byt v skvelej lokalite, Trnava – Sladovnícka","Realitná kancelária Treef vám prináša na prenájom kompletne zariadený 2-izbový byt o výmere 68 m² na Sladovníckej ulici, len pár minút od City Arény a historického centra Trnavy.Byt je ideálny pre 2 osoby ktoré hľadajú pohodlné bývanie s vynikajúcou dostupnosťou všetkých služieb.Dispozícia a vybavenie bytu:• dve samostatné, nepriechodné izby• kuchyňa so spotrebičmi• kúpeľňa so sprchovým kútom• oddelené WC• veľký balkón• pivnica ako praktický úložný priestor• byt sa prenajíma kompletne zariadenýLokalita – City Arena &amp;amp; centrum na dosahObľúbená časť mesta s množstvom zelene a skvelou občianskou vybavenosťou.Výhody lokality:• 10 minút pešo vlaková aj autobusová stanica• rýchle napojenie na D1 – BA / NR• potraviny, služby a šport blízko domovaCena nájmu:• 700 € / mesiac vrátane energií• byt voľný od 1. 12. 2025Ak hľadáte priestranné bývanie s výbornou dostupnosťou a kompletným zariadením, tento byt je skvelou voľbou.Kontakt a obhliadka:Michaela Drietonská0904 273 545info@treef.sk",,Trnava,Trnavský kraj,2.0,68,Kompletná rekonštrukcia,,,3.0,,700,10.0,https://img.unitedclassifieds.sk/foto/ZmlsdGVyczpxdWFsaXR5KDEwMCk6d2F0ZXJtYXJrKHB1cy94c09MZ0lxbmFfZnNzLGNlbnRlcixjZW50ZXIsMTAsMzAsMzApL2p1bA==/13MLPZOaql_fss?st=eOm8b9IvCqQ261_TJgs--Sllyi6r6w3W56BaMtyW3nQ&ts=1762532365&e=0,https://img.unitedclassifieds.sk/foto/ZmlsdGVyczpxdWFsaXR5KDEwMCk6d2F0ZXJtYXJrKHB1cy94c09MZ0lxbmFfZnNzLGNlbnRlcixjZW50ZXIsMTAsMzAsMzApL2p1bA==/eF7d1XCSj_fss?st=rqkzJa2bjTkNsZhXxLnZSSs0KUjrnUZouZq9WnZ3EXM&ts=1762532365&e=0,https://img.unitedclassifieds.sk/foto/ZmlsdGVyczpxdWFsaXR5KDEwMCk6d2F0ZXJtYXJrKHB1cy94c09MZ0lxbmFfZnNzLGNlbnRlcixjZW50ZXIsMTAsMzAsMzApL2p1bA==/3FbsWm_yr_fss?st=UqEgHUARqhPb7AnPYPYslFQ89HPlsYbpFFipJIqTGdE&ts=1762532367&e=0,,700.0
reality_sk,prenajom,JuJTObWMxJA,https://www.reality.sk/byty/arboria-krasny-2-5-izbovy-byt-na-prenajom-v-projekte-arboria-na-novomestskej-ulici/JuJTObWMxJA/,"Arboria | Krásny 2,5 izbový byt na prenájom v projekte Arboria na Novomestskej ulici","LUCRON Vám ponúka exkluzívne na prenájom krásny 2,5 izbový byt o výmere 43,4 m2 + 15,78 m2 loggia s jedným garážovým státím v Novostavbe ARBORIA na Novomestskej ulici 6. POPIS:Dispozícia bytu pozostáva zo vstupnej chodby, kúpeľne so sprchovacím kútom a s WC, obývacej izby spojenej s kuchynskou a jedálenskou časťou, spálne a menšej izby. Výstup na priestrannú loggiu je možný z obývacej izby a aj zo spálne. Byt sa prenajíma kompletne zariadený nábytkom na mieru. Súčasťou je aj TV a kuchynská linka so všetkými spotrebičmi.V suteréne bytového domu sa nachádza garážové státie. Byt je vhodný pre jednu max. dve osoby (pár) a je k nasťahovaniu od 7.11.2025.BYTOVÝ DOM A OKOLIE:   Arboria je moderná mestská štvrť s množstvom zelene, verejných priestorov, športovísk a ihrísk. Na dosah ponúka úplnú občiansku vybavenosť vrátane škôl a škôlok, obchody a služby na pár krokov. Lokalita navyše ponúka vynikajúcu dostupnosť nielen do centra Trnavy, ale aj na blízku diaľnicu D1. CENA PRENÁJMU:Byt a parkovacie miesto 584 EUR + 168 EUR energie a poplatky pre 1 osobu = 752 EUR/mesiac(V prípade viac osôb, je cena mierne vyššia o zálohový predpis na ďalšiu osobu.)Platobné podmienky: 1x mesačný nájom 752 EUR Depozit 732 EUR Sprostredkovateľský poplatok 500 EUR KONTAKT:Ing. Matej LigačTel: +421 911 104 852E  matej.ligac@lucron.sk W www.arboria.sk",,Trnava,Trnavský kraj,3.0,59,Novostavba,2019.0,2021.0,2.0,B,584,10.0,https://s.unitedclassifieds.sk/jul/SumYGblpT_fss?st=ditbVITa7nXHRe8A_o45ULWjOxU_h816biN4EJUKbfo&ts=1761034997&e=0,https://s.unitedclassifieds.sk/jul/G3JV4m6Pz_fss?st=pkF8jFGVjMoie5wVRUNOIVxGYPNvGlQnMBrOg2YSSyk&ts=1761034999&e=0,https://s.unitedclassifieds.sk/jul/2kJiD1tBe_fss?st=MJ4B3haufTAWOw3yJSoM0ednswrYdA3o0zVpdnIKqGk&ts=1761035002&e=0,168.0,584.0
reality_sk,prenajom,JuMagV_5vmq,https://www.reality.sk/byty/novinka-ponukame-na-prenajom-krasne-zariadeny-2i-byt-v-trnave-spacinska-cesta/JuMagV_5vmq/,NOVINKA Ponúkame na PRENÁJOM krásne zariadený 2i byt v Trnave Špačinská cesta,"Ponúkame Vám na prenájom veľmi pekne kompletne zariadený byt  po rekonštrukcii Trnava,  Špačinská cesta.  Byt sa nachádza v blízkosti centra, 5 min chôdze je City Aréna, len 1 min Tesco espress, plná občianska vybavenosť. Dispozičné riešenie:Zo vstupnej chodby s vešiakovou skriňou a komodou , vchádzate priamo do obývačky spojenej s kuchyňou, kde je plne zariadená kuchynská linka so spotrebičmi, plynový sporák, elektrická rúra, mikrovlnka, chladnička, práčka , stôl a 2 jedálenské stoličky. V obývačke je sedacia súprava, konferenčný stolík, skrinky, stoličky. Z obývačky sa vstupuje do spálne so vstavanými skriňami a manželskou,  posteľou s matracmi a nočné stolíky, lampa.Kúpelňa je pri vstupných dverách na ľavo s oknom, vaňou, umývadlom a WC.Plocha: úžitková 55m2. Nachádza sa na 2. poschodí z 2. Podlaha: plávajúca, dlažba. Steny: stierky. Okná: plastové. Vybavenie kúpeľne: klasická vaňa. Vybavenie kuchyne: kuchynská linka, sporák, chladnička, mikrovlnka.Konštrukcia objektu: tehlová.  Kúrenie: lokálne. Ostatné vybavenie: vstavané skrine. Zabezpečenie bezpečnostnými dverami.Výhody: slnečný, pekný výhľad, obchody, škola, škôlka, zastávka autobusu, zateplený bytový dom. Cena nájmu je 650 €/mesiac + preddavky na energie 100 Eur a vratná kaucia 1 000 Eur pri odovzdaní bytu. (+ jednorazová odmena pre RK za sprostredkovanie vo vyske 650 Eur)",,Trnava,Trnavský kraj,2.0,55,Čiastočná rekonštrukcia,,,2.0,A,650,12.0,https://s.unitedclassifieds.sk/jul/LZUC8A__g_fss?st=xzJNj07N72KNclpimWNFTYG5JCt2p4s5WsAsMTpNFPM&ts=1757069123&e=0,https://s.unitedclassifieds.sk/jul/shkbg-NqNM_fss?st=vw9IhYpuu-2PWHCH5112NKFqyYKGa-v3xGw_xn5O0CA&ts=1757069124&e=0,https://s.unitedclassifieds.sk/jul/FR7FDORhS_fss?st=sFtvUp0ItpTUk1RD6LUGCdvvA9Gc1KVCK45z2_-c1os&ts=1757069124&e=0,100.0,650.0
reality_sk,prenajom,JuxCp0JEZjm,https://www.reality.sk/byty/na-prenajom-novostavba-3-izbovy-byt-balkon-prudy-trnava/JuxCp0JEZjm/,"Na prenájom novostavba 3 izbový byt, balkón, Prúdy, Trnava","Na prenájom novostavba 3 izbový byt s balkónom, Prúdy, Trnava. Bytový dom postavený v roku 2025. Dobrý prístup do centra. Diaľnica kúsok. Výmera bytu: 75 m2. Poschodie: 6. Obývačka s kuchyňou. Dve samostatné izby (v jendej vstavaná skriňa). Kúpeľňa s vaňou. Samostatné WC. Vnútorné žalúzie. Umývačka riadu je. Nájomca si môže byt zariadiť podľa svojich predstáv.&amp;amp;nbsp;Parkovanie: garážové státie. Pivničná kobka + samostatná komora na medziposchodí. Možnosť parkovať ďalšie auto pred bytom. Voľný hneď.Malé zviera vítané!Cena prenájmu je 850 EUR + 150 energií. Výška dvoch nájmov sa platí ako depozit (bude vrátený).&amp;amp;nbsp;Výška jedného nájmu sa platí ako provízia pre realitnú kanceláriu (nebude vrátená). Dohoda. Energetický certifikát na vyžiadanie. V prípade, ak máte záujem o kúpu alebo predaj nehnuteľnosti, pozrite si prosím ponuku našej realitnej kancelárie. Pokiaľ máte o uvedenú nehnuteľnosť záujem, kontaktujte prosím tel. č. 0944 328 264.KONTAKT: +421 944 328 264",,Trnava,Trnavský kraj,,75,Novostavba,2025.0,,6.0,,850,11.0,https://s.unitedclassifieds.sk/jul/kQh0NQ9qZ_fss?st=JgsGd9IyE2OJ7oPbYZ66fkC3sbbpeFZJx48lkEFdUw8&ts=1755857150&e=0,https://s.unitedclassifieds.sk/jul/-sHdL_nVn_fss?st=TSd2-VI5QHsLboQ5cPq09AxgAEyS-3wzMxa1PittWPw&ts=1755857148&e=0,https://s.unitedclassifieds.sk/jul/fvvlHW66l_fss?st=ZIVzAwfhaeBsR9fRD8nGDAaEbGc0s2BuKo9mDKtQDvM&ts=1755857148&e=0,150.0,850.0
reality_sk,prenajom,JuR6SGpibK6,https://www.reality.sk/byty/100-aktualne-2-izbovy-byt-s-dvomi-parkingami-na-prenajom-za-700-euro/JuR6SGpibK6/,"+++ 100% AKTUÁLNE 2 IZBOVÝ BYT S DVOMI PARKINGAMI NA PRENÁJOM ZA 700,- EURO+++","+++ 100% AKTUÁLNE 2 IZBOVÝ BYT S&amp;amp;nbsp;DVOMI PARKINGAMI NA PRENÁJOM ZA 700,- EURO+++Kamenár&amp;amp;amp;Partners Vám ponúka na prenájom tento kompletne vybavený&amp;amp;nbsp;&amp;amp;nbsp;a&amp;amp;nbsp;vkusne zariadený 2 izbový byt v&amp;amp;nbsp;15 ročnom bytovom dome na Koniarekovej ulici v&amp;amp;nbsp;Trnave. Byt sa nachádza na 5.poschodí s&amp;amp;nbsp;výťahom a&amp;amp;nbsp;disponuje podlahovou plochou 58m2 plus balkón a&amp;amp;nbsp;pivnica. K&amp;amp;nbsp;bytu patria 2 vlastné parkovacie státia v&amp;amp;nbsp;oplotenom areáli priamo pod bytovým domom. Cena mesačného nájmu zahrňa všetky energie, TV, internet a&amp;amp;nbsp;2 parkovacie státie sú tiež v&amp;amp;nbsp;cene.CENA: 700,- EuroLokalita ponúka výbornú občiansku vybavavenosť, ako aj dostupnosť do mesta ale aj na dialnicu D1, R1.&amp;amp;nbsp;Byt je okamžite voľný k&amp;amp;nbsp;nasťahovaniu, klúčiky u&amp;amp;nbsp;nás v&amp;amp;nbsp;RK.Pre viac informácií o&amp;amp;nbsp;tejto atraktívnej ponuke, ako aj možnosti dohodnutia si obhliadky ma kontaktujte na čísle 0918 507&amp;amp;nbsp;888-Miroslav Kamenár&amp;amp;nbsp;",,Trnava,Trnavský kraj,2.0,58,Novostavba,,,5.0,,700,12.0,https://s.unitedclassifieds.sk/jul/7qwnNzIf4_fss?st=r6pp9qY5oju_qlUtzTDVpP4rwdMogMSkIA_eH7Lbdfg&ts=1762365856&e=0,https://s.unitedclassifieds.sk/jul/c4Zx9e98y_fss?st=thX4i3vWruVQMkKRpDGlC0fbluTmjqfkijQxsxL3IGA&ts=1762365857&e=0,https://s.unitedclassifieds.sk/jul/FD0OL2aGU_fss?st=HEcqCS2fMysgqJ7NAf01_bKTOXadNXzL_6RfOroifRw&ts=1762365858&e=0,,700.0
reality_sk,prenajom,JuKWJxNAGZv,https://www.reality.sk/byty/aktualne-dizajnovy-smart-1-izbovy-byt-s-garazovym-statim-v-prestiznej-rezidencii-hviezdoslavova/JuKWJxNAGZv/,/ Aktuálne / Dizajnový smart 1 izbový byt s garážovým státím v prestížnej Rezidencii Hviezdoslavova,"Ponúkame na prenájom výnimočný, moderný a kompletne zariadený 1-izbový byt s výmerou 36,5 m², ktorý sa nachádza v prestížnej Rezidencii Hviezdoslavova priamo v centre Trnavy. Byt je situovaný na 2 poschodí. Táto nehnuteľnosť predstavuje dokonalé spojenie štýlu, funkčnosti a pohodlia – ideálny pre jednotlivca alebo pár, ktorí hľadajú mestské bývanie s prémiovým štandardom.Pohodlný prístup výťahom priamo z garáže až k bytu.Dispozícia bytu je veľmi praktická. Po vstupe vás privíta chodba s úložným priestorom, na ktorú nadväzuje kúpeľňa so sprchovým kútom a samostatná toaleta. Moderná kuchyňa so zabudovanými elektrospotrebičmi plynule prechádza do obývacej časti, kde je oddelený spací kút, čím vzniká vzdušný a útulný priestor. Súčasťou bytu je aj priestranná loggia s výhľadom do vnútrobloku. Byt je vybavený podlahovým kúrením, rekuperáciou zabezpečujúcou neustály prísun čerstvého vzduchu, klimatizáciou, ako aj elektricky ovládanými hliníkovými žalúziami. Samozrejmosťou je inteligentná domácnosť, ktorá umožňuje pohodlné ovládanie osvetlenia, kúrenia či žalúzií na diaľku.Interiér je ladený v duchu moderného industriálneho dizajnu, doplnený o teplé drevené prvky a dizajnový nábytok. Byt sa prenajíma kompletne zariadený a je pripravený na okamžité nasťahovanie.Rezidencia Hviezdoslavova ponúka vysoký štandard bývania, moderné spoločné priestory a súkromné fitness centrum pre rezidentov. Lokalita priamo v centre mesta zabezpečuje všetku občiansku vybavenosť v pešej dostupnosti – obchody, reštaurácie, kaviarne, kultúrne podujatia..K bytu prislúcha vlastné garážové státie, ktoré je už zahrnuté v cene nájmu. Byt disponuje vlastnou pivnicou.Mesačné nájomné predstavuje 760 €, vrátane všetkých energií, TV, internetu a garážového státia. Pri podpise zmluvy sa hradí nájomné a depozit vo výške nájomného, spolu 1520 Eur .Ak hľadáte štýlové a technologicky moderné bývanie v srdci Trnavy, tento byt je presne pre vás. Byt sa nachádza priamo v historickom centre Trnavy, v obľúbenej pešej zóne.Domáce zvieratá nie sú v byte povolené.Kľúče u nás v RK. Byt je voľný ihneď.Uverejnená fotodokumentácia a popisový text nehnuteľnosti sú majetkom firmy MACHAC REAL ESTATE a nie je možné ich kopírovať bez písomného súhlasu.",,Trnava,Trnavský kraj,1.0,36,Novostavba,2024.0,,2.0,A,760,21.0,https://img.unitedclassifieds.sk/foto/ZmlsdGVyczpxdWFsaXR5KDEwMCk6d2F0ZXJtYXJrKGp1bC85cnp5bE1TVEVfZnNzLC01LC01LDEwLDMwLDMwKS9qdWw=/9RVo7aHbk_fss?st=fa4OF6tiNsyuyja0lDq1zccUE9upxjInB6zzSOAWHxA&ts=1759831594&e=0,https://img.unitedclassifieds.sk/foto/ZmlsdGVyczpxdWFsaXR5KDEwMCk6d2F0ZXJtYXJrKGp1bC85cnp5bE1TVEVfZnNzLC01LC01LDEwLDMwLDMwKS9qdWw=/Bsm-sffbI_fss?st=ILujFkJAk18QBGwAFgFzC0hB9--frwAAHmjtoJQ3UiA&ts=1759831571&e=0,https://img.unitedclassifieds.sk/foto/ZmlsdGVyczpxdWFsaXR5KDEwMCk6d2F0ZXJtYXJrKGp1bC85cnp5bE1TVEVfZnNzLC01LC01LDEwLDMwLDMwKS9qdWw=/IGnhVQPMj_fss?st=ca_fTvZ7AkylYygrd0_b-g66taQm482b22L3Ga6TKFk&ts=1759831581&e=0,,760.0
reality_sk,prenajom,JunP0U0xTAX,https://www.reality.sk/byty/na-prenajom-novy-2-5-izbovy-byt-terasa-mikoviniho-trnava/JunP0U0xTAX/,"Na prenájom nový 2,5 izbový byt, terasa, Mikovíniho, Trnava","Na prenájom zariadený 2,5 izbový byt s terasou, novostavba, Mikovíniho, Trnava. Rozloha bytu: 74 m2 (vrátane terasy). Byt&amp;amp;nbsp;na 2. poschodí. K bytu je veľká terasa. Na všetkých oknách el. žalúzie vonkajšie a sieťky. Byt je plne zariadený a vybavený všetkým potrebným, ako na fotkách. Pračka so sušičkou. K bytu možnosť parkovacieho státia za výhodnú cenu. Byt si možno ihneď rezervovať. Voľný od 1. decembra 2025.Bez psov.Cena prenájmu je 790 EUR vrátane všetkých energií. Výška dvoch nájov sa platí ako vratný depozit. Jeden nájom sa platí ako provízia pre realitnú kanceláriu (nebude vrátená). Energetický certifikát na vyžiadanie. V prípade, ak máte záujem o kúpu alebo predaj nehnuteľnosti, pozrite si prosím ponuku našej realitnej kancelárie. Pokiaľ máte o uvedenú nehnuteľnosť záujem, kontaktujte prosím tel. č. 0944 328 264.KONTAKT: +421 944 328 264.",,Trnava,Trnavský kraj,,74,Novostavba,2024.0,,2.0,A,790,11.0,https://s.unitedclassifieds.sk/jul/AortcmSvD_fss?st=3GuvglllUntOTlEYSSB6M_Vc7umY9t0g6jC-CJwWwG4&ts=1760639925&e=0,https://s.unitedclassifieds.sk/jul/URq6lo-Her_fss?st=C_yIFaTpOjgM8rJkTQsdj3u8r94ynjHrkdoRG5NIVSI&ts=1760639926&e=0,https://s.unitedclassifieds.sk/jul/REyDqvvTp_fss?st=dIE1oDf0lHrAZKZbjYrPt7XBO1g8N9W4a6sxX-e4vlw&ts=1760639926&e=0,,790.0
reality_sk,prenajom,JuzcGDWA2zC,https://www.reality.sk/byty/na-prenajom-pekny-2-izbovy-byt-kapitulska-trnava/JuzcGDWA2zC/,"Na prenájom pekný 2 izbový byt, Kapitulská, Trnava.","Na prenájom 3 izbový byt, centrum, ul. Kapitulská, Trnava. Byt na 2. podlaží bytového domu. Byt sa prenajíma zariadený, so spotrebičmi. Bytový dom bez výťahu. Voľný hneď.Zviera vítané!Cena prenájmu je 900 EUR vrátane všetkých energií, internetu a TV. Výška jedného nájmu sa platí ako vratný depozit. Jeden nájom sa platí ako provízia pre realitnú kanceláriu (nebude vrátená). Energetický certifikát na vyžiadanie. V prípade, ak máte záujem o kúpu alebo predaj nehnuteľnosti, pozrite si prosím ponuku našej realitnej kancelárie. Pokiaľ máte o uvedenú nehnuteľnosť záujem, kontaktujte prosím tel. č. 0944 328 264.KONTAKT: +421 944 328 264",,Trnava,Trnavský kraj,,1,Čiastočná rekonštrukcia,,,,,900,900.0,https://s.unitedclassifieds.sk/jul/IYxoT9knz_fss?st=a1eRQLZzY5vqE_fEAPEQgSiuKZnGHPV34K3eQGcHKtU&ts=1754892956&e=0,,,,900.0
reality_sk,prenajom,Ju7FfJnZrAQ,https://www.reality.sk/byty/na-prenajom-prerobeny-3-izbovy-byt-balkon-dusika-trnava/Ju7FfJnZrAQ/,"Na prenájom prerobený 3 izbový byt, balkón, Dusíka, Trnava","Na prenájom komplet prerobený 3 izbový byt s balkónom, ul. G. Dusíka, Trnava. Nová kuchyňa, nová kúpeľňa a WC. Byt blízko centra mesta. 5 min peši od OC Max. 14 min peši vlakova a busová stanica. Byt na 1. poschodí z troch (nie prízemie). Výťah nie je. Rozloha: 62 m2. Lodžia je. Voľný hneď. Pre nefajčiarov. Majiteľ pomôže vybaviť parkovaciu kartu.Bez psov.Cena prenájmu je 690 EUR + 130 EUR energie. Výška dvoch nájmov sa platí ako vratný depozit. Jeden nájom sa platí ako provízia pre realitnú kanceláriu (nebude vrátená). Energetický certifikát na vyžiadanie. V prípade, ak máte záujem o kúpu alebo predaj nehnuteľnosti, pozrite si prosím ponuku našej realitnej kancelárie. Pokiaľ máte o uvedenú nehnuteľnosť záujem, kontaktujte prosím tel. č. 0944 328 264.KONTAKT: +421 944 328 264",,Trnava,Trnavský kraj,,62,Kompletná rekonštrukcia,,,1.0,nie je,690,11.0,https://s.unitedclassifieds.sk/jul/gG-g80XMg_fss?st=n-xjcw251S-iXD5uabme7Knfxads-M_GsbcbwH7fZW0&ts=1761304019&e=0,https://s.unitedclassifieds.sk/jul/ypLt1H9kH_fss?st=ae0NdljbeZCQDmZLbxthT27w7FTHb16rLY1UX9Qmsu0&ts=1761304020&e=0,https://s.unitedclassifieds.sk/jul/MxtSgWD660_fss?st=6mKoxUhg4Vav8hAU5B9yfA0aVBykPy6MTlZc8bw1ph4&ts=1761304020&e=0,690.0,130.0
